Xd;Yd;Xu;Yu
1400.2254;72.1473;58.0000;25.0000
1429.4612;72.1962;59.0000;25.0000
1458.8041;72.2893;60.0000;25.0000
1488.3998;72.5078;61.0000;25.0000
1517.8959;72.7685;62.0000;25.0000
1547.1751;73.0381;63.0000;25.0000
1576.3658;73.3606;64.0000;25.0000
1605.4634;73.6256;65.0000;25.0000
1634.5201;73.9010;66.0000;25.0000
1663.5095;74.4562;67.0000;25.0000
1692.4907;75.0638;68.0000;25.0000
1721.3800;75.5459;69.0000;25.0000
1750.2180;75.9773;70.0000;25.0000
1778.6901;76.5460;71.0000;25.0000
1807.0214;77.4177;72.0000;25.0000
1835.5942;78.2870;73.0000;25.0000
1864.2054;78.5202;74.0000;25.0000
1892.2083;79.6147;75.0000;25.0000
1920.3584;80.5105;76.0000;25.0000
1948.3200;81.3944;77.0000;25.0000
1976.2688;82.3745;78.0000;25.0000
2003.9426;83.2853;79.0000;25.0000
2031.4798;84.3070;80.0000;25.0000
2058.7425;85.4317;81.0000;25.0000
2086.1397;86.5951;82.0000;25.0000
2113.1315;87.7938;83.0000;25.0000
2140.1550;89.0485;84.0000;25.0000
2166.7970;90.5229;85.0000;25.0000
2193.4701;92.0049;86.0000;25.0000
257.5950;138.4177;19.0000;26.0000
285.5595;136.5322;20.0000;26.0000
313.5641;134.8147;21.0000;26.0000
341.6574;133.1090;22.0000;26.0000
370.1707;131.4738;23.0000;26.0000
398.5231;129.9368;24.0000;26.0000
427.0792;128.3639;25.0000;26.0000
455.6185;126.7374;26.0000;26.0000
484.4747;125.2613;27.0000;26.0000
513.4266;123.7747;28.0000;26.0000
542.2264;122.1287;29.0000;26.0000
571.4339;120.6473;30.0000;26.0000
600.3596;119.2574;31.0000;26.0000
629.5191;117.8894;32.0000;26.0000
659.0837;116.5561;33.0000;26.0000
687.9110;115.3158;34.0000;26.0000
717.4987;114.1043;35.0000;26.0000
747.1692;113.0102;36.0000;26.0000
776.3848;111.8115;37.0000;26.0000
805.7943;110.7124;38.0000;26.0000
835.5556;109.6592;39.0000;26.0000
865.3451;108.7025;40.0000;26.0000
895.0357;107.8640;41.0000;26.0000
924.7107;107.0530;42.0000;26.0000
954.4190;106.1912;43.0000;26.0000
984.1130;105.3724;44.0000;26.0000
1013.9450;104.5007;45.0000;26.0000
1043.7316;103.7326;46.0000;26.0000
1073.5865;103.3364;47.0000;26.0000
1103.5048;103.0120;48.0000;26.0000
1133.0274;102.3237;49.0000;26.0000
1163.0978;101.7176;50.0000;26.0000
1192.5746;101.4798;51.0000;26.0000
1222.6148;101.2832;52.0000;26.0000
1252.4651;100.9900;53.0000;26.0000
1282.1488;100.6607;54.0000;26.0000
1312.2296;100.4258;55.0000;26.0000
1341.5801;100.3101;56.0000;26.0000
1371.2264;100.2655;57.0000;26.0000
1400.9422;100.2454;58.0000;26.0000
1430.4214;100.2931;59.0000;26.0000
1459.8362;100.4352;60.0000;26.0000
1489.3396;100.6051;61.0000;26.0000
1518.9035;100.8974;62.0000;26.0000
1548.3303;101.2606;63.0000;26.0000
1577.4454;101.4148;64.0000;26.0000
1606.5695;101.5354;65.0000;26.0000
1635.6339;101.8380;66.0000;26.0000
1664.6737;102.2292;67.0000;26.0000
1693.5920;102.7449;68.0000;26.0000
1722.5381;103.4328;69.0000;26.0000
1751.4335;104.0419;70.0000;26.0000
1780.2337;104.5240;71.0000;26.0000
1808.5631;105.1024;72.0000;26.0000
1836.9229;105.8473;73.0000;26.0000
1865.4681;106.5376;74.0000;26.0000
1893.8390;107.3659;75.0000;26.0000
1921.8838;108.2244;76.0000;26.0000
1950.0391;109.0177;77.0000;26.0000
